 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 15, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\2H_CD2.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1039E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.124E+01  1.446E+00    2810 A       614 A       656 A   
  11.00 keV   4.313E+01  1.351E+00    3023 A       633 A       684 A   
  12.00 keV   4.492E+01  1.270E+00    3229 A       649 A       709 A   
  13.00 keV   4.663E+01  1.199E+00    3428 A       664 A       733 A   
  14.00 keV   4.825E+01  1.136E+00    3622 A       677 A       755 A   
  15.00 keV   4.981E+01  1.080E+00    3811 A       690 A       776 A   
  16.00 keV   5.130E+01  1.030E+00    3995 A       701 A       795 A   
  17.00 keV   5.274E+01  9.848E-01    4174 A       712 A       813 A   
  18.00 keV   5.412E+01  9.438E-01    4350 A       721 A       831 A   
  20.00 keV   5.673E+01  8.723E-01    4690 A       740 A       862 A   
  22.50 keV   5.975E+01  7.981E-01    5098 A       760 A       898 A   
  25.00 keV   6.253E+01  7.367E-01    5488 A       778 A       930 A   
  27.50 keV   6.510E+01  6.848E-01    5864 A       794 A       958 A   
  30.00 keV   6.748E+01  6.404E-01    6227 A       807 A       984 A   
  32.50 keV   6.969E+01  6.019E-01    6580 A       820 A      1008 A   
  35.00 keV   7.174E+01  5.682E-01    6922 A       832 A      1031 A   
  37.50 keV   7.365E+01  5.384E-01    7256 A       842 A      1051 A   
  40.00 keV   7.543E+01  5.118E-01    7583 A       852 A      1071 A   
