 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 03, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\16N_CD2.txt.txt

 Ion = Nitrogen [7] , Mass = 16 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1039E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    9.084E-01  7.001E+00       2 A         1 A           A   
    1.2 eV    9.084E-01  7.384E+00       2 A         1 A         1 A   
    1.3 eV    9.455E-01  7.753E+00       2 A         1 A         1 A   
    1.4 eV    9.811E-01  8.110E+00       2 A         1 A         1 A   
    1.5 eV    1.016E+00  8.455E+00       2 A         1 A         1 A   
    1.6 eV    1.049E+00  8.790E+00       3 A         1 A         1 A   
    1.7 eV    1.081E+00  9.116E+00       3 A         1 A         1 A   
    1.8 eV    1.113E+00  9.433E+00       3 A         1 A         1 A   
      2 eV    1.173E+00  1.004E+01       3 A         1 A         1 A   
   2.25 eV    1.244E+00  1.077E+01       3 A         1 A         1 A   
2.49999 eV    1.311E+00  1.145E+01       3 A         1 A         1 A   
2.74999 eV    1.375E+00  1.211E+01       3 A         1 A         1 A   
2.99999 eV    1.436E+00  1.274E+01       3 A         1 A         1 A   
3.24999 eV    1.495E+00  1.334E+01       3 A         2 A         1 A   
3.49999 eV    1.551E+00  1.392E+01       4 A         2 A         1 A   
3.74999 eV    1.606E+00  1.447E+01       4 A         2 A         1 A   
3.99999 eV    1.658E+00  1.502E+01       4 A         2 A         1 A   
4.49999 eV    1.759E+00  1.605E+01       4 A         2 A         1 A   
4.99999 eV    1.854E+00  1.702E+01       4 A         2 A         1 A   
