 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 03, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\17N_CD2.txt.txt

 Ion = Nitrogen [7] , Mass = 17 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1039E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.30 keV   2.901E+01  1.361E+02      86 A        31 A        24 A   
   1.40 keV   3.010E+01  1.372E+02      91 A        33 A        25 A   
   1.50 keV   3.116E+01  1.381E+02      96 A        34 A        26 A   
   1.60 keV   3.218E+01  1.389E+02     101 A        36 A        27 A   
   1.70 keV   3.317E+01  1.396E+02     106 A        37 A        28 A   
   1.80 keV   3.413E+01  1.402E+02     110 A        38 A        29 A   
   2.00 keV   3.598E+01  1.411E+02     120 A        41 A        31 A   
   2.25 keV   3.816E+01  1.418E+02     131 A        45 A        34 A   
   2.50 keV   4.022E+01  1.422E+02     143 A        48 A        36 A   
   2.75 keV   4.219E+01  1.423E+02     154 A        51 A        39 A   
   3.00 keV   4.406E+01  1.423E+02     165 A        55 A        41 A   
   3.25 keV   4.586E+01  1.421E+02     176 A        58 A        44 A   
   3.50 keV   4.759E+01  1.418E+02     187 A        61 A        46 A   
   3.75 keV   4.926E+01  1.413E+02     198 A        64 A        48 A   
   4.00 keV   5.088E+01  1.408E+02     209 A        67 A        50 A   
   4.50 keV   5.397E+01  1.396E+02     231 A        73 A        55 A   
   5.00 keV   5.688E+01  1.383E+02     253 A        79 A        59 A   
   5.50 keV   5.966E+01  1.368E+02     275 A        84 A        63 A   
   6.00 keV   6.231E+01  1.353E+02     297 A        90 A        68 A   
   6.50 keV   6.486E+01  1.338E+02     318 A        96 A        72 A   
   7.00 keV   6.731E+01  1.322E+02     340 A       101 A        76 A   
   8.00 keV   7.195E+01  1.291E+02     383 A       112 A        84 A   
   9.00 keV   7.632E+01  1.260E+02     427 A       122 A        92 A   
  10.00 keV   8.045E+01  1.230E+02     470 A       132 A       100 A   
  11.00 keV   8.437E+01  1.201E+02     513 A       142 A       107 A   
  12.00 keV   8.813E+01  1.174E+02     556 A       151 A       115 A   
  13.00 keV   9.172E+01  1.148E+02     599 A       161 A       122 A   
  14.00 keV   9.519E+01  1.123E+02     642 A       170 A       130 A   
  15.00 keV   9.853E+01  1.099E+02     685 A       179 A       137 A   
  16.00 keV   1.018E+02  1.076E+02     728 A       187 A       144 A   
  17.00 keV   1.049E+02  1.055E+02     770 A       196 A       151 A   
  18.00 keV   1.079E+02  1.034E+02     813 A       204 A       158 A   
  20.00 keV   1.138E+02  9.953E+01     898 A       220 A       172 A   
  22.50 keV   1.207E+02  9.513E+01    1004 A       239 A       189 A   
  25.00 keV   1.272E+02  9.117E+01    1108 A       257 A       205 A   
  27.50 keV   1.334E+02  8.758E+01    1213 A       275 A       221 A   
  30.00 keV   1.393E+02  8.430E+01    1316 A       291 A       237 A   
  32.50 keV   1.450E+02  8.130E+01    1418 A       307 A       252 A   
  35.00 keV   1.498E+02  7.855E+01    1520 A       322 A       267 A   
  37.50 keV   1.536E+02  7.601E+01    1621 A       336 A       281 A   
  40.00 keV   1.576E+02  7.365E+01    1722 A       350 A       296 A   
  45.00 keV   1.655E+02  6.942E+01    1922 A       377 A       323 A   
  50.00 keV   1.730E+02  6.573E+01    2119 A       402 A       350 A   
  55.00 keV   1.800E+02  6.247E+01    2315 A       425 A       375 A   
  60.00 keV   1.863E+02  5.956E+01    2508 A       447 A       400 A   
  65.00 keV   1.921E+02  5.696E+01    2699 A       468 A       423 A   
  70.00 keV   1.974E+02  5.461E+01    2888 A       488 A       446 A   
  80.00 keV   2.066E+02  5.053E+01    3262 A       525 A       490 A   
  90.00 keV   2.146E+02  4.710E+01    3630 A       560 A       531 A   
 100.00 keV   2.216E+02  4.416E+01    3993 A       592 A       570 A   
 110.00 keV   2.280E+02  4.162E+01    4352 A       621 A       607 A   
 120.00 keV   2.338E+02  3.939E+01    4707 A       649 A       643 A   
 130.00 keV   2.392E+02  3.742E+01    5059 A       675 A       677 A   
 140.00 keV   2.443E+02  3.567E+01    5406 A       700 A       709 A   
 150.00 keV   2.492E+02  3.409E+01    5750 A       723 A       741 A   
 160.00 keV   2.539E+02  3.266E+01    6091 A       745 A       771 A   
 170.00 keV   2.584E+02  3.137E+01    6428 A       766 A       800 A   
 180.00 keV   2.629E+02  3.018E+01    6762 A       786 A       829 A   
 200.00 keV   2.715E+02  2.809E+01    7420 A       826 A       883 A   
 225.00 keV   2.819E+02  2.590E+01    8224 A       873 A       946 A   
 250.00 keV   2.922E+02  2.406E+01    9009 A       915 A      1004 A   
 275.00 keV   3.025E+02  2.249E+01    9773 A       953 A      1059 A   
 300.00 keV   3.130E+02  2.114E+01    1.05 um      987 A      1110 A   
 325.00 keV   3.235E+02  1.996E+01    1.12 um     1019 A      1158 A   
 350.00 keV   3.340E+02  1.891E+01    1.19 um     1048 A      1203 A   
 375.00 keV   3.446E+02  1.798E+01    1.26 um     1075 A      1245 A   
 400.00 keV   3.552E+02  1.715E+01    1.33 um     1099 A      1285 A   
 450.00 keV   3.760E+02  1.572E+01    1.46 um     1150 A      1358 A   
 500.00 keV   3.963E+02  1.453E+01    1.58 um     1194 A      1423 A   
 550.00 keV   4.160E+02  1.352E+01    1.70 um     1233 A      1482 A   
 600.00 keV   4.350E+02  1.266E+01    1.81 um     1267 A      1536 A   
 650.00 keV   4.533E+02  1.191E+01    1.92 um     1297 A      1585 A   
 700.00 keV   4.710E+02  1.125E+01    2.03 um     1325 A      1630 A   
 800.00 keV   5.044E+02  1.015E+01    2.23 um     1386 A      1710 A   
 900.00 keV   5.356E+02  9.260E+00    2.41 um     1438 A      1779 A   
   1.00 MeV   5.649E+02  8.527E+00    2.59 um     1482 A      1840 A   
   1.10 MeV   5.927E+02  7.910E+00    2.76 um     1521 A      1894 A   
   1.20 MeV   6.190E+02  7.383E+00    2.92 um     1555 A      1942 A   
   1.30 MeV   6.441E+02  6.927E+00    3.08 um     1586 A      1986 A   
   1.40 MeV   6.681E+02  6.529E+00    3.23 um     1613 A      2026 A   
   1.50 MeV   6.910E+02  6.178E+00    3.37 um     1638 A      2063 A   
   1.60 MeV   7.130E+02  5.866E+00    3.52 um     1661 A      2097 A   
   1.70 MeV   7.340E+02  5.586E+00    3.65 um     1682 A      2128 A   
   1.80 MeV   7.541E+02  5.333E+00    3.78 um     1702 A      2157 A   
   2.00 MeV   7.919E+02  4.896E+00    4.04 um     1756 A      2210 A   
   2.25 MeV   8.344E+02  4.448E+00    4.35 um     1824 A      2267 A   
   2.50 MeV   8.721E+02  4.080E+00    4.64 um     1884 A      2318 A   
   2.75 MeV   9.053E+02  3.773E+00    4.92 um     1937 A      2363 A   
   3.00 MeV   9.343E+02  3.511E+00    5.19 um     1985 A      2403 A   
   3.25 MeV   9.595E+02  3.286E+00    5.45 um     2029 A      2440 A   
   3.50 MeV   9.813E+02  3.090E+00    5.71 um     2070 A      2474 A   
   3.75 MeV   1.000E+03  2.918E+00    5.96 um     2108 A      2505 A   
   4.00 MeV   1.016E+03  2.765E+00    6.20 um     2144 A      2535 A   
   4.50 MeV   1.042E+03  2.505E+00    6.69 um     2263 A      2589 A   
   5.00 MeV   1.061E+03  2.293E+00    7.16 um     2371 A      2637 A   
   5.50 MeV   1.074E+03  2.116E+00    7.63 um     2471 A      2682 A   
   6.00 MeV   1.083E+03  1.966E+00    8.09 um     2565 A      2724 A   
   6.50 MeV   1.088E+03  1.837E+00    8.55 um     2654 A      2763 A   
   7.00 MeV   1.091E+03  1.726E+00    9.01 um     2739 A      2800 A   
   8.00 MeV   1.090E+03  1.540E+00    9.92 um     3043 A      2869 A   
   9.00 MeV   1.082E+03  1.393E+00   10.84 um     3320 A      2934 A   
  10.00 MeV   1.070E+03  1.273E+00   11.77 um     3580 A      2996 A   
  11.00 MeV   1.055E+03  1.173E+00   12.71 um     3828 A      3055 A   
  12.00 MeV   1.038E+03  1.088E+00   13.67 um     4068 A      3113 A   
  13.00 MeV   1.019E+03  1.016E+00   14.64 um     4302 A      3170 A   
  14.00 MeV   9.995E+02  9.528E-01   15.63 um     4532 A      3227 A   
  15.00 MeV   9.794E+02  8.976E-01   16.64 um     4760 A      3283 A   
  16.00 MeV   9.591E+02  8.489E-01   17.67 um     4986 A      3339 A   
  17.00 MeV   9.389E+02  8.054E-01   18.72 um     5211 A      3395 A   
  18.00 MeV   9.189E+02  7.664E-01   19.79 um     5436 A      3452 A   
  20.00 MeV   8.800E+02  6.993E-01   22.02 um     6293 A      3567 A   
  22.50 MeV   8.340E+02  6.311E-01   24.93 um     7540 A      3715 A   
  25.00 MeV   7.914E+02  5.756E-01   28.01 um     8720 A      3870 A   
  27.50 MeV   7.521E+02  5.296E-01   31.25 um     9865 A      4031 A   
  30.00 MeV   7.161E+02  4.907E-01   34.65 um     1.10 um     4201 A   
  32.50 MeV   6.831E+02  4.574E-01   38.23 um     1.21 um     4378 A   
  35.00 MeV   6.573E+02  4.286E-01   41.95 um     1.32 um     4565 A   
  37.50 MeV   6.377E+02  4.034E-01   45.81 um     1.43 um     4758 A   
  40.00 MeV   6.166E+02  3.811E-01   49.80 um     1.54 um     4958 A   
  45.00 MeV   5.708E+02  3.435E-01   58.23 um     1.95 um     5384 A   
  50.00 MeV   5.311E+02  3.129E-01   67.30 um     2.34 um     5845 A   
  55.00 MeV   4.971E+02  2.876E-01   77.03 um     2.72 um     6342 A   
  60.00 MeV   4.676E+02  2.663E-01   87.40 um     3.09 um     6875 A   
  65.00 MeV   4.417E+02  2.480E-01   98.40 um     3.46 um     7443 A   
  70.00 MeV   4.189E+02  2.322E-01  110.02 um     3.83 um     8046 A   
