 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 15, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CD2.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  9.1800E-01 g/cm3 = 1.1039E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    033.33    007.18   
      C      6    016.67    042.82   
      H      1    033.33    007.18   
      C      6    016.67    042.82   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   6.899E+00  3.881E-03  448.50 um    18.92 um    11.03 um  
   6.00 MeV   6.432E+00  3.589E-03  523.46 um    21.84 um    12.80 um  
   6.50 MeV   6.029E+00  3.339E-03  603.64 um    24.77 um    14.69 um  
   7.00 MeV   5.678E+00  3.124E-03  688.98 um    27.73 um    16.69 um  
   8.00 MeV   5.095E+00  2.769E-03  874.67 um    38.51 um    21.03 um  
   9.00 MeV   4.629E+00  2.490E-03    1.08 mm    48.60 um    25.81 um  
  10.00 MeV   4.247E+00  2.264E-03    1.31 mm    58.48 um    31.02 um  
  11.00 MeV   3.929E+00  2.077E-03    1.55 mm    68.35 um    36.65 um  
  12.00 MeV   3.658E+00  1.919E-03    1.81 mm    78.28 um    42.70 um  
  13.00 MeV   3.426E+00  1.785E-03    2.10 mm    88.35 um    49.15 um  
  14.00 MeV   3.224E+00  1.669E-03    2.40 mm    98.56 um    56.00 um  
  15.00 MeV   3.046E+00  1.568E-03    2.71 mm   108.94 um    63.24 um  
  16.00 MeV   2.888E+00  1.478E-03    3.05 mm   119.50 um    70.87 um  
  17.00 MeV   2.748E+00  1.399E-03    3.41 mm   130.24 um    78.89 um  
  18.00 MeV   2.622E+00  1.328E-03    3.78 mm   141.17 um    87.28 um  
  20.00 MeV   2.404E+00  1.207E-03    4.57 mm   181.83 um   105.18 um  
  22.50 MeV   2.182E+00  1.084E-03    5.66 mm   240.02 um   129.61 um  
  25.00 MeV   2.001E+00  9.847E-04    6.86 mm   295.27 um   156.25 um  
  27.50 MeV   1.851E+00  9.026E-04    8.16 mm   349.50 um   185.06 um  
  30.00 MeV   1.724E+00  8.337E-04    9.55 mm   403.56 um   215.98 um  
  32.50 MeV   1.615E+00  7.749E-04   11.05 mm   457.90 um   248.96 um  
  35.00 MeV   1.520E+00  7.241E-04   12.65 mm   512.74 um   283.96 um  
  37.50 MeV   1.437E+00  6.798E-04   14.33 mm   568.23 um   320.94 um  
  40.00 MeV   1.364E+00  6.408E-04   16.12 mm   624.44 um   359.86 um  
  45.00 MeV   1.240E+00  5.752E-04   19.96 mm   832.72 um   443.41 um  
  50.00 MeV   1.139E+00  5.223E-04   24.16 mm     1.03 mm   534.31 um  
  55.00 MeV   1.056E+00  4.785E-04   28.71 mm     1.22 mm   632.30 um  
  60.00 MeV   9.856E-01  4.418E-04   33.61 mm     1.41 mm   737.16 um  
  65.00 MeV   9.253E-01  4.104E-04   38.84 mm     1.60 mm   848.66 um  
  70.00 MeV   8.731E-01  3.834E-04   44.40 mm     1.79 mm   966.60 um  
  80.00 MeV   7.873E-01  3.391E-04   56.45 mm     2.48 mm     1.22 mm  
  90.00 MeV   7.194E-01  3.042E-04   69.73 mm     3.13 mm     1.50 mm  
 100.00 MeV   6.645E-01  2.761E-04   84.18 mm     3.75 mm     1.80 mm  
 110.00 MeV   6.190E-01  2.529E-04   99.75 mm     4.37 mm     2.12 mm  
 120.00 MeV   5.808E-01  2.333E-04  116.42 mm     4.98 mm     2.46 mm  
 130.00 MeV   5.481E-01  2.167E-04  134.13 mm     5.59 mm     2.82 mm  
 140.00 MeV   5.199E-01  2.024E-04  152.84 mm     6.21 mm     3.20 mm  
 150.00 MeV   4.953E-01  1.899E-04  172.53 mm     6.83 mm     3.60 mm  
 160.00 MeV   4.737E-01  1.789E-04  193.15 mm     7.45 mm     4.01 mm  
 170.00 MeV   4.545E-01  1.691E-04  214.68 mm     8.07 mm     4.44 mm  
 180.00 MeV   4.374E-01  1.604E-04  237.09 mm     8.70 mm     4.88 mm  
 200.00 MeV   4.080E-01  1.455E-04  284.40 mm    11.02 mm     5.80 mm  
 225.00 MeV   3.785E-01  1.305E-04  347.96 mm    14.28 mm     7.03 mm  
 250.00 MeV   3.548E-01  1.183E-04  416.13 mm    17.29 mm     8.33 mm  
 275.00 MeV   3.353E-01  1.083E-04  488.56 mm    20.16 mm     9.69 mm  
 300.00 MeV   3.190E-01  9.992E-05  564.94 mm    22.93 mm    11.11 mm  
 325.00 MeV   3.052E-01  9.277E-05  645.00 mm    25.65 mm    12.58 mm  
 350.00 MeV   2.934E-01  8.660E-05  728.48 mm    28.30 mm    14.09 mm  
 375.00 MeV   2.832E-01  8.122E-05  815.14 mm    30.92 mm    15.63 mm  
 400.00 MeV   2.742E-01  7.649E-05  904.79 mm    33.49 mm    17.22 mm  
 450.00 MeV   2.594E-01  6.856E-05    1.09 m     42.84 mm    20.47 mm  
 500.00 MeV   2.476E-01  6.215E-05    1.29 m     51.25 mm    23.82 mm  
 550.00 MeV   2.381E-01  5.688E-05    1.50 m     59.08 mm    27.25 mm  
 600.00 MeV   2.303E-01  5.245E-05    1.71 m     66.48 mm    30.72 mm  
 650.00 MeV   2.237E-01  4.868E-05    1.93 m     73.55 mm    34.24 mm  
 700.00 MeV   2.182E-01  4.543E-05    2.15 m     80.35 mm    37.78 mm  
 800.00 MeV   2.095E-01  4.011E-05    2.62 m    104.30 mm    44.90 mm  
 900.00 MeV   2.030E-01  3.594E-05    3.11 m    125.05 mm    52.03 mm  
   1.00 GeV   1.980E-01  3.257E-05    3.61 m    143.79 mm    59.12 mm  
   1.10 GeV   1.941E-01  2.980E-05    4.12 m    161.09 mm    66.14 mm  
   1.20 GeV   1.911E-01  2.747E-05    4.63 m    177.25 mm    73.07 mm  
   1.30 GeV   1.887E-01  2.549E-05    5.16 m    192.47 mm    79.90 mm  
   1.40 GeV   1.867E-01  2.378E-05    5.69 m    206.91 mm    86.63 mm  
   1.50 GeV   1.852E-01  2.230E-05    6.23 m    220.65 mm    93.23 mm  
   1.60 GeV   1.839E-01  2.099E-05    6.77 m    233.79 mm    99.72 mm  
   1.70 GeV   1.829E-01  1.983E-05    7.32 m    246.38 mm   106.10 mm  
   1.80 GeV   1.821E-01  1.880E-05    7.87 m    258.49 mm   112.35 mm  
   2.00 GeV   1.809E-01  1.703E-05    8.97 m    302.18 mm   124.52 mm  
   2.25 GeV   1.800E-01  1.525E-05   10.35 m    360.49 mm   139.12 mm  
   2.50 GeV   1.797E-01  1.382E-05   11.74 m    410.94 mm   153.06 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0894E-02                keV / (ug/cm2) 
  1.0894E-02                MeV / (mg/cm2) 
  1.0894E+01                keV / (mg/cm2) 
  9.0591E-02                 eV / (1E15 atoms/cm2)
  4.1234E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
